item_id,name,market_value,quantity,avg_sale_price,sale_rate,timestamp
14342,Mooncloth,440271,1,173998,0.314,2026-02-01T04:25:03.409899
13464,Golden Sansam,2832,110,787,0.181,2026-02-01T04:25:06.704585
8846,Gromsblood,34336,56,20209,0.439,2026-02-01T04:25:10.111269
8845,Ghost Mushroom,30363,10,9409,0.308,2026-02-01T04:25:13.482300
13422,Stonescale Eel,14336,34,28483,0.651,2026-02-01T04:25:16.872830
13467,Icecap,11790,50,41031,0.321,2026-02-01T04:25:20.226936
12360,Arcanite Bar,1519321,3,394993,0.391,2026-02-02T01:12:18.946577
12811,Righteous Orb,1391929,5,235098,0.497,2026-02-02T01:12:22.050078
7067,Elemental Earth,81269,2,86691,0.858,2026-02-02T01:12:25.199944
7068,Elemental Fire,38745,25,4810,0.287,2026-02-02T01:12:28.384376
13463,Dreamfoil,35678,0,6531,0.615,2026-02-02T01:12:31.528386
13465,Mountain Silversage,51345,0,23447,0.579,2026-02-02T01:12:34.715324
13466,Plaguebloom,26475,57,10748,0.328,2026-02-02T01:12:37.895068
14344,Large Brilliant Shard,100200,94,36491,0.336,2026-02-02T01:12:41.208537
14342,Mooncloth,440271,1,173998,0.314,2026-02-02T01:12:44.439900
13464,Golden Sansam,2832,110,787,0.181,2026-02-02T01:12:47.581051
8846,Gromsblood,34336,56,20209,0.439,2026-02-02T01:12:50.716749
8845,Ghost Mushroom,30363,10,9409,0.308,2026-02-02T01:12:53.900579
13422,Stonescale Eel,14336,34,28483,0.651,2026-02-02T01:12:57.023821
13467,Icecap,11790,50,41031,0.321,2026-02-02T01:13:00.209633
13468,Black Lotus,1773209,4,889876,0.426,2026-02-02T01:13:30.486416
12360,Arcanite Bar,1519321,3,394993,0.391,2026-02-02T01:13:33.586336
12811,Righteous Orb,1391929,5,235098,0.497,2026-02-02T01:13:36.633722
7067,Elemental Earth,81269,2,86691,0.858,2026-02-02T01:13:39.727492
7068,Elemental Fire,38745,25,4810,0.287,2026-02-02T01:13:42.736247
13463,Dreamfoil,35678,0,6531,0.615,2026-02-02T01:13:45.754850
13465,Mountain Silversage,51345,0,23447,0.579,2026-02-02T01:13:48.810542
13466,Plaguebloom,26475,57,10748,0.328,2026-02-02T01:13:51.827096
14344,Large Brilliant Shard,100200,94,36491,0.336,2026-02-02T01:13:54.870335
14342,Mooncloth,440271,1,173998,0.314,2026-02-02T01:13:57.910594
13464,Golden Sansam,2832,110,787,0.181,2026-02-02T01:14:00.961220
8846,Gromsblood,34336,56,20209,0.439,2026-02-02T01:14:04.066837
8845,Ghost Mushroom,30363,10,9409,0.308,2026-02-02T01:14:07.055140
13422,Stonescale Eel,14336,34,28483,0.651,2026-02-02T01:14:10.124702
13467,Icecap,11790,50,41031,0.321,2026-02-02T01:14:13.453387
13468,Black Lotus,1773209,4,889876,0.426,2026-02-02T01:16:37.948192
12360,Arcanite Bar,1519321,3,394993,0.391,2026-02-02T01:16:41.136405
12811,Righteous Orb,1391929,5,235098,0.497,2026-02-02T01:16:44.325528
7067,Elemental Earth,81269,2,86691,0.858,2026-02-02T01:16:47.577057
7068,Elemental Fire,38745,25,4810,0.287,2026-02-02T01:16:50.678882
13463,Dreamfoil,35678,0,6531,0.615,2026-02-02T01:16:53.897739
13465,Mountain Silversage,51345,0,23447,0.579,2026-02-02T01:16:57.108203
13466,Plaguebloom,26475,57,10748,0.328,2026-02-02T01:17:00.291284
14344,Large Brilliant Shard,100200,94,36491,0.336,2026-02-02T01:17:03.540885
14342,Mooncloth,440271,1,173998,0.314,2026-02-02T01:17:07.028370
13464,Golden Sansam,2832,110,787,0.181,2026-02-02T01:17:10.093433
8846,Gromsblood,34336,56,20209,0.439,2026-02-02T01:17:13.260115
8845,Ghost Mushroom,30363,10,9409,0.308,2026-02-02T01:17:16.287711
13422,Stonescale Eel,14336,34,28483,0.651,2026-02-02T01:17:19.371605
13467,Icecap,11790,50,41031,0.321,2026-02-02T01:17:22.787073
